Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,46.8 [35.3 – 56.3],54.4 [45 – 66.6],54.4 [45 – 66.6],No,All,130,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Algeria,12.1 [6.7 – 17.6],15.9 [11.2 – 21.1],20.8 [11.3 – 30.3],No,DZD,70,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Andorra,28.9 [19 – 41.1],35.1 [26.3 – 44.9],35.1 [26.3 – 44.9],Not applicable,Not applicable,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Argentina,28.3 [23 – 33.6],31.2 [25.5 – 37.1],34.1 [27.2 – 42.8],Not applicable,ARS,3.8,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Armenia,29.2 [24.3 – 34.1],31.3 [26.4 – 36.6],31.3 [26.4 – 36.6],Not applicable,AMD,500,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Australia,16.1 [10.7 – 21.1],19.7 [16.4 – 22.8],22.4 [18.5 – 26.2],No,AUD,9.6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Austria,36.7 [28.6 – 45.1],39.4 [30.8 – 47.6],39.4 [30.8 – 47.6],No,EUR,3.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Azerbaijan,19.3 [13.1 – 26.4],24.2 [15 – 32.3],24.2 [15 – 32.3],Not applicable,AZN,0.7,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Bahamas,3.1 [1.4 – 5.2],18.5 [11.7 – 26.3],18.5 [11.7 – 26.3],Not applicable,BSD,2.69,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Bahrain,14.6 [10.7 – 18.8],34.8 [26.6 – 43.3],26.5 [16.9 – 37.3],Not applicable,BHD,0.6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Bangladesh,22 [17.3 – 27],3 [2.1 – 3.8],45.5 [36.8 – 54.7],Not applicable,BDT,15,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Barbados,2 [1 – 3.1],2.6 [1.6 – 4],2.7 [1.7 – 3.8],Not applicable,BBD,11,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Belarus,30.4 [24.7 – 35.7],32.6 [26.9 – 38],32.6 [26.9 – 38],Not applicable,BYR,860,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Belgium,26 [20.6 – 31.7],27.8 [22.8 – 33.3],27.8 [22.8 – 33.3],No,EUR,4.16,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Benin,10.4 [7.3 – 13.9],14.5 [11 – 18.4],20.2 [16.2 – 25.4],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Bosnia and Herzegovina,34.7 [24.9 – 43.8],42.8 [33.2 – 53],42.8 [33.2 – 53],Not applicable,BAM,2,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Botswana,24.9 [15.8 – 34.5],31.8 [23.6 – 40.7],27.7 [21.1 – 34.5],Not applicable,BWP,17.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Brazil,17 [13.4 – 20.5],19.2 [16.1 – 23.1],25 [18.9 – 31.1],No,BRL,2.4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Brunei Darussalam,24.5 [15.6 – 33.7],29.2 [21.3 – 36.4],29.2 [21.3 – 36.4],No,BND,2.24,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Bulgaria,41.3 [32.9 – 50.3],44.8 [36.2 – 54.2],44.8 [36.2 – 54.2],No,BGN,2.9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Burkina Faso,11.2 [8.2 – 14.2],25.2 [19.6 – 31.6],22.7 [16.4 – 29],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Burundi,18.1 [11.1 – 26.8],21.3 [13.2 – 31.2],23.9 [16.7 – 32],Not applicable,BIF,600,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cambodia,4.4 [3.6 – 5.3],4.7 [3.9 – 5.5],34.6 [28.5 – 40.8],Not applicable,USD,0.3,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cameroon,15.2 [10.4 – 19.7],15.2 [10.4 – 19.7],2 [1.4 – 2.6],No,XAF,500,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Canada,20 [16.9 – 23.1],20.7 [17.4 – 23.8],28.1 [22.5 – 34.1],Not applicable,CAD,7.86,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chad,12.5 [8.9 – 17.3],10 [7.2 – 12.7],22.6 [15.6 – 31],No,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Chile,38.3 [30.2 – 45.6],49.6 [35.7 – 64.2],49.6 [35.7 – 64.2],Yes,CLP,"1,074",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
China,25 [20.7 – 30],27.3 [22.1 – 32.1],27.3 [22.1 – 32.1],Not applicable,CNY,6.44,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Colombia,15.9 [11.2 – 20.5],17.9 [13.1 – 23.8],17.9 [13.1 – 23.8],No,COP,"1,769",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Comoros,22 [16.5 – 27.6],26.5 [21.5 – 33.1],30.4 [23.1 – 38.7],Not applicable,KMF,500,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Congo,16.2 [11.1 – 21.7],18.1 [14.8 – 22],22.2 [16.8 – 28],Not applicable,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cook Islands,28.6 [17.7 – 39.4],35.7 [27.6 – 44.4],35.7 [27.6 – 44.4],No,NZD,8.2,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Costa Rica,18.7 [14.4 – 23.9],20.8 [16 – 26.1],20.8 [16 – 26.1],Not applicable,CRC,750,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Croatia,31.8 [24 – 39],35.3 [28.6 – 42.4],35.3 [28.6 – 42.4],No,HRK,15,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cuba,27.3 [17.8 – 37.4],37.8 [25.5 – 51.6],37.8 [25.5 – 51.6],No,CUP,7,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Cyprus,32.5 [24.5 – 40.5],40 [29.5 – 51.4],40 [29.5 – 51.4],No,EUR,2.82,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Czechia,28.4 [23.3 – 34],33.4 [27.6 – 38.8],33.4 [27.6 – 38.8],No,CZK,53,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Côte d’Ivoire,12.6 [7.1 – 19.6],15.5 [9 – 24.7],3.4 [1.3 – 6.8],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Democratic People's Republic of Korea,16.8 [9.5 – 23.5],20.3 [14.5 – 27],20.3 [14.5 – 27],Not applicable,KPW,20,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Denmark,25.8 [20.7 – 30.8],28.5 [23.5 – 33.8],28.5 [23.5 – 33.8],No,DKK,32,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Dominican Republic,13.6 [10.5 – 16.9],14.3 [9.8 – 19.5],14.3 [9.8 – 19.5],No,DOP,100,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Egypt,16.2 [12.7 – 19.8],21.3 [17.2 – 25.3],21.3 [17.2 – 25.3],No,EGP,2.75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
El Salvador,19.4 [12 – 28],23.1 [14.9 – 33.4],28.6 [18.1 – 41.4],No,USD,1.4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Eritrea,11.9 [6.9 – 16.6],14.5 [10.3 – 18.8],10.2 [7.1 – 13.7],No,ERN,25,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Estonia,32.9 [25.8 – 39.9],36.4 [30.6 – 42.8],36.4 [30.6 – 42.8],No,EEK,32.18,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Eswatini,15 [11.9 – 18.4],2.4 [1.8 – 3.3],18.8 [14.6 – 22.7],Not applicable,SZL,27.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Ethiopia,3.6 [2.8 – 4.4],4.2 [3.2 – 5.2],10.5 [7.6 – 13],Not applicable,ETB,4.35,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Fiji,24.4 [14.1 – 36],29.9 [20 – 40.4],29.9 [20 – 40.4],Not applicable,FJD,4.6,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
