Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Finland,22 [16.7 – 26.8],25 [20.8 – 28.9],25 [20.8 – 28.9],No,EUR,4.07,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
France,31.4 [24.4 – 38.6],34.5 [28.3 – 41.1],34.5 [28.3 – 41.1],No,EUR,5.3,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gambia,13.5 [9.3 – 18.4],18 [12.6 – 24],2.8 [1.9 – 3.9],Not applicable,GMD,10,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Georgia,5.3 [4.2 – 6.6],5.7 [4.6 – 6.9],5.7 [4.6 – 6.9],No,GEL,1.8,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Germany,28.9 [23.4 – 34],31.2 [25.8 – 36.3],31.2 [25.8 – 36.3],No,EUR,4.71,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ghana,3.6 [2.5 – 4.7],4.8 [3.3 – 6.1],5.1 [3.9 – 6.6],Not applicable,GHS,1.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Greece,41.1 [31.4 – 51.5],45.3 [34.8 – 56.6],45.3 [34.8 – 56.6],No,EUR,3,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Guyana,3.8 [2.4 – 5.1],3.8 [2.4 – 5.1],3.8 [2.4 – 5.1],Not applicable,GYD,240,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Haiti,3.5 [2.5 – 4.7],16 [0 – 0],16 [0 – 0],Not applicable,Not applicable,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Hungary,33.5 [26.4 – 40.7],35.9 [29.5 – 42.6],35.9 [29.5 – 42.6],No,HUF,568.4,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Iceland,17.6 [10.4 – 25.3],22.1 [16.3 – 28.5],22.1 [16.3 – 28.5],No,ISK,665,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
India,13 [9.8 – 16.2],23.8 [19.1 – 28.7],38.5 [29.6 – 49.7],Yes,INR,58,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Indonesia,30.7 [24.8 – 36.9],30.7 [24.8 – 36.9],39.3 [32.3 – 47.2],Not applicable,IDR,"12,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Iran (Islamic Republic of),11.3 [8.2 – 14.6],25.1 [20.3 – 30.4],30.7 [25.5 – 37.4],Yes,IRR,"4,739",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Iraq,28.8 [18.2 – 41.5],37.1 [27.8 – 48.3],44.4 [32.9 – 56.5],Not applicable,IQD,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ireland,26.9 [21.7 – 32.4],30.2 [24 – 37.2],30.2 [24 – 37.2],No,EUR,8.05,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Israel,24.6 [19.8 – 29.1],28.7 [23.2 – 35.3],28.7 [23.2 – 35.3],No,ILS,19,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Italy,24.5 [20.4 – 28],25.1 [21.4 – 29.5],25.1 [21.4 – 29.5],No,EUR,3.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Jamaica,19.4 [13.6 – 24.9],24 [14.8 – 34.3],24 [14.8 – 34.3],Not applicable,JMD,405,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Japan,27.2 [22.7 – 31.7],28.3 [23.6 – 32.9],28.3 [23.6 – 32.9],No,JPY,300,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kazakhstan,46.8 [39.3 – 56.2],50.1 [41.1 – 59.4],50.1 [41.1 – 59.4],No,KZT,90,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Kenya,11 [9 – 13.4],13.6 [10.4 – 16.6],27.1 [22 – 32.7],No,KES,80,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kiribati,49.3 [28.6 – 68.9],61.2 [46.6 – 76.3],61.2 [46.6 – 76.3],Not applicable,AUD,6.4,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kuwait,2.3 [1.1 – 3.5],37 [29.4 – 45.7],43.6 [33.5 – 54.9],Not applicable,KWD,0.47,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kyrgyzstan,3.7 [2.7 – 4.8],4.3 [3.1 – 5.7],4.3 [3.1 – 5.7],Yes,KGS,22,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lao People's Democratic Republic,50.2 [39 – 63.7],36.6 [29 – 43.8],51.1 [39.8 – 62.3],Not applicable,LAK,"5,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Latvia,34.6 [26.8 – 42],39 [31.9 – 45.5],39 [31.9 – 45.5],Not applicable,LVL,1.48,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lebanon,29.6 [21.7 – 37.2],34.4 [25.7 – 44],43.3 [29.3 – 59.4],No,LBP,"2,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lesotho,16.3 [12.4 – 20.9],20.8 [14.9 – 27.2],42.5 [34.2 – 51.6],Not applicable,LSL,22,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Liberia,15.8 [9.6 – 22],2.1 [1.5 – 2.8],18.9 [14.2 – 24],Not applicable,LRD,50,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Lithuania,29.3 [22.9 – 35.6],32.4 [27.1 – 38.1],32.4 [27.1 – 38.1],No,LTL,5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Luxembourg,23.9 [19.1 – 28.7],26.2 [22 – 30.9],26.2 [22 – 30.9],No,EUR,3.2,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Madagascar,16.4 [12.1 – 20.9],22.7 [15.4 – 30.7],36.5 [27.7 – 46.4],No,MGA,"1,400",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Malawi,2.7 [1.5 – 3.9],26.7 [22.4 – 31.9],29.8 [24.2 – 36],Not applicable,MWK,150,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malaysia,21.8 [15.8 – 27.9],25.7 [20.5 – 30.7],25.7 [20.5 – 30.7],Not applicable,MYR,9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Mali,18.2 [13.4 – 22.5],2.6 [1.5 – 3.9],2.6 [1.5 – 3.9],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malta,26.9 [20.8 – 33],30.1 [24.6 – 36.1],30.1 [24.6 – 36.1],Not applicable,EUR,3.59,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Mauritius,3.6 [2.9 – 4.5],4.2 [3.3 – 5.2],54.1 [36.3 – 72.3],Not applicable,MUR,65,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Mexico,26.7 [22 – 31.7],29 [24.4 – 34.4],29 [24.4 – 34.4],No,MXN,28,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Mongolia,42.6 [27.3 – 56.6],52.2 [42.5 – 64.9],57.6 [44.8 – 72.5],No,MNT,500,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Morocco,14.8 [11.3 – 18.3],17.4 [14.1 – 21.1],19.4 [15.4 – 24.6],No,MAD,17.5,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Mozambique,2.3 [1.3 – 3.4],34.5 [24 – 44.4],33.7 [26.8 – 42],No,MZN,15,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Myanmar,39.7 [29.6 – 50.9],29.9 [23.4 – 36.7],55.4 [44.3 – 68.8],Not applicable,MMK,"1,050",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Namibia,21.5 [17.2 – 26.8],21.8 [16.6 – 27.2],21.9 [6 – 9.8],Not applicable,NAD,23,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Nauru,43.4 [26.9 – 60.2],53.3 [40.2 – 69.3],62.8 [47.1 – 80.6],Not applicable,AUD,4.4,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Nepal,27.4 [22.2 – 32.8],30.8 [25.5 – 36.4],49 [40 – 58.6],Not applicable,NPR,65,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Netherlands,24.3 [18.1 – 30.1],28.4 [24 – 33.4],28.4 [24 – 33.4],No,EUR,4.74,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
New Zealand,21.5 [17.9 – 24.9],22.5 [18.9 – 26.1],22.5 [18.9 – 26.1],No,NZD,10,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Niger,10.9 [7.8 – 14],12.8 [10.5 – 15.7],14.5 [11.3 – 17.7],Not applicable,XOF,400,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Nigeria,4.5 [3.2 – 6],5.2 [4.1 – 6.6],11.2 [8.2 – 14],Not applicable,NGN,180,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Norway,24.5 [16.7 – 32.3],30.8 [26.4 – 35.8],20.7 [17.4 – 23.8],No,NOK,71,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Oman,10.7 [8 – 13.5],14.2 [11.4 – 17],18.1 [13.3 – 23],No,OMR,0.6,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Pakistan,28.9 [22 – 37.8],37.6 [29 – 46.6],30.7 [22.9 – 38.9],Not applicable,PKR,18.4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Palau,26.3 [13.5 – 36.6],22.2 [14.9 – 29.1],29.5 [18.5 – 41.5],Not applicable,USD,3.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,9
Panama,3.1 [2.2 – 3.9],16.5 [13 – 20.5],19.1 [13.4 – 25.2],Yes,USD,1.96,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Paraguay,27.5 [18.7 – 38.2],32.9 [26.4 – 40.4],32.9 [26.4 – 40.4],Not applicable,PYG,"1,000",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Peru,30.2 [21.2 – 40.1],33 [22.3 – 43.5],33 [22.3 – 43.5],Yes,PEN,4,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Philippines,46 [37.3 – 55.1],30.5 [24.9 – 35.6],30.5 [24.9 – 35.6],No,PHP,12.23,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Poland,31.8 [25.4 – 38],34.1 [27.6 – 40.5],34.1 [27.6 – 40.5],No,PLN,5.75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Portugal,23.1 [17.6 – 28.4],26.1 [21.3 – 31.2],26.1 [21.3 – 31.2],No,EUR,3.3,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Qatar,10.1 [6.6 – 14.4],12.7 [9.1 – 17.1],14.9 [11 – 19.2],No,QAR,6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Republic of Korea,48.9 [41.4 – 58.2],51.7 [43.5 – 60.3],51.7 [43.5 – 60.3],Not applicable,KRW,"2,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Republic of Moldova,39.3 [32.2 – 47.4],43.8 [35.9 – 52.1],43.8 [35.9 – 52.1],Not applicable,MDL,6,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Romania,30.8 [24.4 – 37.2],34.4 [28.6 – 41.1],34.4 [28.6 – 41.1],No,RON,6.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Russian Federation,30.9 [25.8 – 35.7],31.5 [26.4 – 36.8],31.5 [26.4 – 36.8],No,RUB,25,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Rwanda,16.9 [11.5 – 22.2],24.3 [17.5 – 31.5],24.6 [18.5 – 31.4],Not applicable,RWF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Samoa,28.7 [21.5 – 37.5],35.6 [26.7 – 44.3],35.6 [26.7 – 44.3],No,WST,7.8,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Sao Tome and Principe,4 [2.7 – 5.7],4.6 [3.5 – 6],5.9 [4.3 – 7.6],Not applicable,STD,"20,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Saudi Arabia,2.1 [1.3 – 3],2.9 [2 – 3.8],3.3 [1.9 – 4.8],Not applicable,SAR,6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Senegal,15.8 [11.8 – 19.3],18.3 [15 – 22.3],12.1 [8.7 – 16.3],No,XOF,400,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Serbia,38.8 [29.6 – 48.2],43.6 [35.6 – 52.1],43.6 [35.6 – 52.1],Not applicable,RSD,70,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Seychelles,34.1 [25.6 – 42.5],38.8 [29.3 – 47.4],39.5 [29.7 – 48.8],Not applicable,SCR,66,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Sierra Leone,36.6 [27.8 – 45.9],28.6 [22.8 – 35.4],28.6 [22.8 – 35.4],Not applicable,SLL,"1,600",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Singapore,24.6 [20 – 29.7],27.5 [23 – 32.9],27.5 [23 – 32.9],No,SGD,11.6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Slovakia,26.8 [18.9 – 33.9],31.9 [24.7 – 38.9],31.9 [24.7 – 38.9],No,EUR,2.1,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Slovenia,22.4 [17.7 – 27.1],24.3 [20.1 – 28.7],24.3 [20.1 – 28.7],No,EUR,2.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Solomon Islands,33.6 [23.9 – 43.6],40.4 [31 – 49.5],40.4 [31 – 49.5],Not applicable,Not applicable,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
South Africa,29.2 [21.5 – 36.3],35.7 [28.8 – 42.3],35 [25.3 – 46.3],No,ZAR,19.18,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Spain,31 [24.2 – 37.2],33.3 [27.9 – 40],33.3 [27.9 – 40],No,EUR,2.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Sri Lanka,11.6 [7.4 – 15.9],15.3 [12.5 – 18.4],45.5 [35.8 – 57.3],Not applicable,LKR,320,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Sweden,18.6 [13.7 – 24],25.1 [20.7 – 29.7],41.7 [33.2 – 50.5],No,SEK,49,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Switzerland,23.8 [17.9 – 29.6],27.1 [22.7 – 31.6],27.1 [22.7 – 31.6],No,CHF,6.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Thailand,22.2 [18.5 – 26],23.7 [20.3 – 28.2],4.5 [3.4 – 5.8],Not applicable,THB,45,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Timor-Leste,6.4 [3.5 – 9.5],48.5 [38.4 – 57.9],48.5 [38.4 – 57.9],Not applicable,USD,1,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Togo,12.2 [7.8 – 17.3],16.1 [10.8 – 22.6],3.3 [2 – 4.5],Not applicable,XOF,350,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Tonga,25.7 [16.9 – 34.7],31.7 [25.4 – 38.6],31.7 [25.4 – 38.6],No,TOP,7.3,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
