Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,43.7 [30.2 – 57.1],51.1 [36.7 – 65.8],51.1 [36.7 – 65.8],No,All,230,Yes in some,,,,,,,,,
Algeria,11.2 [6.5 – 16.4],14.7 [10.9 – 19.7],19.1 [11.9 – 27.3],No,DZD,210,Yes in some,,,,,,,,,
Andorra,27.9 [16.2 – 41.3],33.9 [22.3 – 45.9],33.9 [22.3 – 45.9],Not applicable,EUR,3.5,No,,,,,,,,,
Argentina,20.5 [16 – 26],22.7 [17.1 – 28.4],23.6 [17.6 – 30.5],Yes,ARS,40,Yes in most,,,,,,,,,
Armenia,25.8 [21 – 30.7],27.5 [22.9 – 32.6],27.5 [22.9 – 32.6],Not applicable,AMD,600,Yes in some,,,,,,,,,
Australia,12.2 [8.1 – 16.2],14.9 [12 – 17.5],17.1 [13.9 – 20.2],No,AUD,21,Yes in most,,,,,,,,,
Austria,28.5 [22.4 – 34.9],30.7 [24.6 – 37.3],30.7 [24.6 – 37.3],No,EUR,5,Yes in some,,,,,,,,,
Azerbaijan,16.3 [10.9 – 22.2],20.3 [13.8 – 27.8],20.3 [13.8 – 27.8],Not applicable,AZN,2.8,No,,,,,,,,,
Bahamas,2.6 [1.1 – 4.4],18.5 [10.7 – 27.9],18.5 [10.7 – 27.9],Not applicable,BSD,8.95,Yes in some,,,,,,,,,
Bahrain,13.9 [8 – 20.5],33.9 [19.8 – 49.3],41.7 [22.7 – 62.3],Not applicable,BHD,1.5,Yes in some,,,,,,,,,
Bangladesh,18.5 [14 – 22.6],21.7 [17.7 – 26.4],40.1 [32.2 – 49.5],Yes,BDT,50,Yes in some,,,,,,,,,
Barbados,10.2 [4.9 – 15.4],2.1 [1.1 – 3.3],2.4 [1.3 – 3.4],Not applicable,BBD,15,No,,,,,,,,,
Belarus,25.7 [20.7 – 30.5],27.5 [22.8 – 32.8],27.5 [22.8 – 32.8],Not applicable,BYR,"9,600",Yes in some,,,,,,,,,
Belgium,23.8 [18.1 – 29.9],25.5 [19.7 – 31.6],25.5 [19.7 – 31.6],No,EUR,6.32,Yes in some,,,,,,,,,
Benin,4.3 [2.9 – 5.7],11.8 [8.3 – 14.7],2.2 [1.5 – 2.9],No,XOF,500,No,,,,,,,,,
Bosnia and Herzegovina,31.5 [22.2 – 42.7],39.1 [25.7 – 54.3],39.1 [25.7 – 54.3],Not applicable,BAM,4.5,Yes in most,,,,,,,,,
Botswana,25.8 [16 – 35.7],33.1 [24.2 – 43.1],24.3 [18.7 – 30.7],Not applicable,BWP,33.33,Yes in some,,,,,,,,,
Brazil,16.2 [12.1 – 20.9],14.2 [10.6 – 18.1],17.8 [12.5 – 24.1],No,BRL,6.24,Yes in some,,,,,,,,,
Brunei Darussalam,2.1 [1.3 – 3.1],2.7 [1.9 – 3.6],2.7 [1.9 – 3.6],No,Not applicable,Not applicable,Yes in some,,,,,,,,,
Bulgaria,36.7 [28.4 – 46.1],40.1 [30.7 – 48.7],40.1 [30.7 – 48.7],No,BGN,4.9,No,,,,,,,,,
Burkina Faso,10.1 [7 – 13.5],2.1 [1.1 – 3.4],25.6 [19.2 – 32.8],Yes,XOF,650,No,,,,,,,,,
Burundi,14.9 [9.9 – 20.7],2.3 [1.4 – 3.3],19.6 [14.4 – 25.6],Not applicable,BIF,"1,600",No,,,,,,,,,
Cambodia,2.1 [1.7 – 2.6],2.3 [1.8 – 2.8],40.1 [32.1 – 48],Yes,KHR,"2,000",Yes in some,,,,,,,,,
Cameroon,14.9 [10.5 – 19.5],14.9 [10.5 – 19.5],17.5 [13.1 – 21.8],No,XAF,500,No,,,,,,,,,
Canada,13.6 [11.4 – 15.9],14.1 [11.9 – 16.6],19.1 [15.3 – 23.6],No,CAD,10.29,Yes in most,,,,,,,,,
Chad,12.4 [8.9 – 16.1],17.9 [11.6 – 25.1],2.6 [1.4 – 4],Yes,XAF,750,No,,,,,,,,,
Chile,35 [26 – 44.5],45.5 [30.2 – 60.7],45.5 [30.2 – 60.7],Yes,CLP,"2,178",No,,,,,,,,,
China,23.2 [17.9 – 28.8],25.1 [20.1 – 30.6],25.1 [20.1 – 30.6],Not applicable,CNY,12.84,Yes in some,,,,,,,,,
Colombia,3.7 [2.7 – 4.7],4.1 [3.2 – 5.2],4.1 [3.2 – 5.2],Yes,COP,"2,726",No,,,,,,,,,
Comoros,19.2 [14.1 – 25.4],23.3 [15.8 – 30.5],20.9 [15.1 – 27.3],No,KMF,750,No,,,,,,,,,
Congo,11.3 [7.3 – 15.7],12 [9.3 – 14.8],2.1 [1.4 – 2.9],No,XAF,650,No,,,,,,,,,
Cook Islands,22.4 [14 – 31.4],28 [21.4 – 35.7],28 [21.4 – 35.7],No,NZD,21.7,Yes in most,,,,,,,,,
Costa Rica,4.9 [3.1 – 6.4],15.6 [10.9 – 20.2],15.6 [10.9 – 20.2],Yes,CRC,"1,700",Yes in some,,,,,,,,,
Croatia,32.7 [24.7 – 41.5],36.3 [28.6 – 45.1],36.3 [28.6 – 45.1],No,HRK,24,Yes in some,,,,,,,,,
Cuba,20.6 [13.7 – 29.5],28.6 [16.1 – 42.7],28.6 [16.1 – 42.7],No,CUP,7,Yes in most,,,,,,,,,
Cyprus,30.4 [21.6 – 39],37.1 [28.4 – 47],37.1 [28.4 – 47],No,EUR,4.2,Yes in some,,,,,,,,,
Czechia,27.1 [21.8 – 33],31.9 [26.6 – 38.4],31.9 [26.6 – 38.4],No,CZK,84,Yes in some,,,,,,,,,
Côte d’Ivoire,10.5 [6.2 – 15.9],12.8 [7.2 – 18.8],13.4 [5.2 – 23.2],No,XOF,700,Yes in some,,,,,,,,,
Democratic People's Republic of Korea,15.7 [9.5 – 21.6],19 [13.3 – 24.1],19 [13.3 – 24.1],Not applicable,KPW,216.5,Yes in most,,,,,,,,,
Denmark,18.2 [14.6 – 21.6],20 [16.6 – 23.8],20 [16.6 – 23.8],No,DKK,44,Yes in some,,,,,,,,,
Dominican Republic,5.3 [3.7 – 6.9],12 [6.7 – 18.3],12 [6.7 – 18.3],No,DOP,150,No,,,,,,,,,
Egypt,17.8 [13.4 – 22.2],21.3 [16.8 – 25.5],21.3 [16.8 – 25.5],Yes,EGP,10,No,,,,,,,,,
El Salvador,15.9 [9.8 – 23.6],19.1 [11 – 27.7],2.7 [1.6 – 4.1],Yes,USD,2,No,,,,,,,,,
Eritrea,4.9 [2.8 – 7.2],11.7 [7.8 – 16.4],15 [9.4 – 20.9],No,ERN,100,No,,,,,,,,,
