Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Estonia,28.3 [21.3 – 35.3],31.5 [25.4 – 37.5],31.5 [25.4 – 37.5],Not applicable,EUR,3.8,No,,,,,,,,,
Eswatini,15.1 [10.2 – 20],16.3 [11.5 – 21.7],19.1 [14.3 – 25.1],No,SZL,36,No,,,,,,,,,
Ethiopia,3 [2.3 – 3.7],3.5 [2.7 – 4.3],4.8 [3.6 – 6],No,ETB,15,No,,,,,,,,,
Fiji,35.1 [19 – 56.4],27.1 [15.4 – 39.9],27.1 [15.4 – 39.9],Not applicable,FJD,12,Yes in some,,,,,,,,,
Finland,18.1 [14.1 – 22.7],20.4 [16.9 – 24],20.4 [16.9 – 24],Not applicable,EUR,6.12,Yes in most,,,,,,,,,
France,31.5 [23.6 – 40],34.6 [27.7 – 42.8],34.6 [27.7 – 42.8],No,EUR,7,Yes in some,,,,,,,,,
Gambia,11.8 [8.4 – 15.7],15.7 [10.8 – 21],15 [12 – 18.9],No,GMD,40,No,,,,,,,,,
Georgia,4.9 [3.5 – 6.4],5.3 [3.8 – 7],5.3 [3.8 – 7],No,GEL,2.5,Yes in some,,,,,,,,,
Germany,26.5 [21.4 – 32.2],28.6 [23.7 – 33.9],28.6 [23.7 – 33.9],No,EUR,6,Yes in some,,,,,,,,,
Ghana,2.8 [1.8 – 3.9],3.7 [2.5 – 5.6],3.9 [2.6 – 5.3],No,GHS,4.99,No,,,,,,,,,
Greece,36.5 [27.3 – 45.7],40.2 [31.5 – 50.6],40.2 [31.5 – 50.6],No,EUR,4,Yes in some,,,,,,,,,
Guyana,2.4 [1.6 – 3.2],2.4 [1.6 – 3.2],2.4 [1.6 – 3.2],Not applicable,GYD,350,Yes in some,,,,,,,,,
Haiti,2.6 [1.7 – 3.5],3.5 [0 – 0],3.5 [0 – 0],Not applicable,HTG,84,No,,,,,,,,,
Hungary,29.3 [22.5 – 36.8],31.4 [25.2 – 39],31.4 [25.2 – 39],No,HUF,"1,152",Yes in some,,,,,,,,,
Iceland,11.9 [7.6 – 16.9],15 [10.6 – 19.4],15 [10.6 – 19.4],No,ISK,"1,271",Yes in some,,,,,,,,,
India,12.2 [9.4 – 14.9],12.1 [9.5 – 14.8],28.8 [22.2 – 35.2],Yes,INR,158,Yes in some,,,,,,,,,
Indonesia,30.9 [24.8 – 37.1],30.9 [24.8 – 37.1],6 [4.4 – 7.6],Yes,IDR,"21,667",Yes in some,,,,,,,,,
Iran (Islamic Republic of),17.5 [12.9 – 21.7],11.2 [8.8 – 13.5],25.5 [20.2 – 31.4],Yes,IRR,"18,000",Yes in some,,,,,,,,,
Iraq,14.4 [7.3 – 21.2],2.8 [1.5 – 4.4],3.9 [2.2 – 5.9],Yes,IQD,500,No,,,,,,,,,
Ireland,22.1 [17.1 – 26.6],24.6 [19.2 – 30.2],24.6 [19.2 – 30.2],No,EUR,10.8,Yes in some,,,,,,,,,
Israel,22.3 [16.3 – 28.8],26 [18.5 – 34],26 [18.5 – 34],No,ILS,35.6,Yes in some,,,,,,,,,
Italy,23.1 [19.2 – 27.1],23.6 [19.7 – 27.7],23.6 [19.7 – 27.7],No,EUR,5.2,Yes in some,,,,,,,,,
Jamaica,3.7 [2.4 – 5.3],18.7 [10.4 – 30.2],18.7 [10.4 – 30.2],Yes,JMD,990.3,Yes in most,,,,,,,,,
Japan,22.1 [18.5 – 26.3],22.8 [18.7 – 26.9],22.8 [18.7 – 26.9],No,JPY,440,Yes in some,,,,,,,,,
Kazakhstan,40.5 [30.9 – 49.2],43.7 [33.3 – 53.5],43.7 [33.3 – 53.5],Yes,KZT,290,Yes in some,,,,,,,,,
Kenya,17.2 [13.1 – 21.1],10.8 [8.1 – 13.4],21.8 [17.2 – 26.3],Yes,KES,130,Yes in some,,,,,,,,,
Kiribati,43 [24.8 – 63.1],53.5 [38.5 – 69.4],53.5 [38.5 – 69.4],No,AUD,6,Yes in most,,,,,,,,,
Kuwait,15 [9.2 – 21.5],2.4 [1.7 – 3.3],3.6 [2.5 – 4.8],Yes,KWD,0.75,Yes in some,,,,,,,,,
Kyrgyzstan,3 [2 – 4.2],3.5 [2.3 – 4.9],3.5 [2.3 – 4.9],Yes,KGS,55,Yes in most,,,,,,,,,
Lao People's Democratic Republic,41.5 [32.6 – 52.9],50.3 [38.4 – 61.7],39.9 [30 – 52.4],No,LAK,"7,000",No,,,,,,,,,
Latvia,32.8 [25.2 – 41.5],37.1 [29.7 – 44.5],37.1 [29.7 – 44.5],Not applicable,EUR,3,Yes in some,,,,,,,,,
Lebanon,26.5 [19.3 – 35.2],34 [26 – 43.5],42.6 [29.9 – 57.1],No,LBP,"3,250",Yes in some,,,,,,,,,
Lesotho,21.9 [16.5 – 28],28 [20.7 – 38.1],5 [3.1 – 7.3],Not applicable,Data not available,Data not available,Yes in most,,,,,,,,,
Liberia,13.8 [7.7 – 20.4],14.1 [10.9 – 17.5],2 [1.3 – 2.8],Not applicable,LRD,60,Yes in some,,,,,,,,,
Lithuania,25.4 [20 – 31.7],28 [22.4 – 33.8],28 [22.4 – 33.8],Not applicable,EUR,3.1,Yes in some,,,,,,,,,
Luxembourg,20.4 [16.2 – 24.5],22.5 [17.9 – 26.7],22.5 [17.9 – 26.7],No,EUR,5.2,Yes in some,,,,,,,,,
Madagascar,15.1 [11 – 19.6],21 [13.2 – 29],30 [21.8 – 39.3],No,MGA,"4,000",No,,,,,,,,,
Malawi,17.2 [13.5 – 20.9],19.5 [15.9 – 23.9],21.9 [17.6 – 26.5],Not applicable,Data not available,Data not available,No,,,,,,,,,
Malaysia,19.1 [13.3 – 25.2],22.5 [17.2 – 28.6],22.5 [17.2 – 28.6],Not applicable,MYR,17,Yes in some,,,,,,,,,
Mali,18 [13.4 – 22.8],12.1 [7.7 – 16.5],12.1 [7.7 – 16.5],No,XOF,800,No,,,,,,,,,
Malta,23.1 [16.8 – 29.3],25.9 [19.9 – 32.1],25.9 [19.9 – 32.1],Not applicable,EUR,5.3,Yes in some,,,,,,,,,
Mauritius,3.3 [2.4 – 4.2],3.8 [2.7 – 5],49.1 [28.8 – 72.3],Not applicable,MUR,130,Yes in some,,,,,,,,,
Mexico,20.7 [16.7 – 25.1],22.5 [18.2 – 26.7],22.5 [18.2 – 26.7],No,MXN,47.39,Yes in most,,,,,,,,,
Mongolia,37.8 [22.1 – 51.7],46.3 [35.2 – 59],50.2 [37.6 – 64.3],No,MNT,"1,700",No,,,,,,,,,
Morocco,12.1 [8.9 – 15.9],14.4 [11.2 – 18.6],15.5 [11.9 – 19.3],No,MAD,20.5,Yes in most,,,,,,,,,
Mozambique,11.8 [7.4 – 16.1],28 [18.2 – 39.6],24.9 [19.1 – 31.8],No,MZN,35,No,,,,,,,,,
Myanmar,2.7 [1.4 – 4.1],38.4 [29.1 – 48.7],46.8 [35.3 – 59.5],Yes,MMK,850,Yes in some,,,,,,,,,
Namibia,22.9 [17.2 – 29.6],33.7 [24.8 – 45.2],28.2 [0 – 0],Yes,NAD,44,Yes in some,,,,,,,,,
Nauru,38.7 [22.7 – 55.8],47.4 [33.9 – 63.8],53.9 [39.9 – 69.2],No,AUD,11,No,,,,,,,,,
Nepal,30.2 [24.1 – 37.4],34.3 [27.1 – 41.5],34.3 [26.7 – 42.3],Yes,NPR,180,Yes in some,,,,,,,,,
Netherlands,20.8 [15.2 – 26],24.3 [19.8 – 28.8],24.3 [19.8 – 28.8],No,EUR,6.63,Yes in most,,,,,,,,,
New Zealand,15.2 [12.3 – 17.8],16 [13.2 – 18.9],16 [13.2 – 18.9],No,NZD,21.6,Yes in most,,,,,,,,,
Niger,12.2 [8.5 – 16.1],14 [11.2 – 17.8],15.9 [12.4 – 20],Not applicable,XOF,500,No,,,,,,,,,
Nigeria,3.8 [2.5 – 5.3],4.3 [3.3 – 5.4],5 [3.7 – 6.4],No,NGN,220,No,,,,,,,,,
Norway,16.1 [10.8 – 21.6],20.2 [16.8 – 23.7],14.1 [11.9 – 16.6],No,NOK,108.6,Yes in some,,,,,,,,,
Oman,11.4 [7.7 – 15.2],15 [11.6 – 19],18.5 [13.6 – 24.3],Not applicable,OMR,1,Yes in some,,,,,,,,,
Pakistan,2.5 [1.6 – 3.5],3.4 [2.2 – 4.8],35.8 [25.5 – 46.2],Not applicable,PKR,67,Yes in some,,,,,,,,,
Palau,23.3 [13.9 – 33.8],29.2 [21.2 – 37.2],24.7 [16.4 – 34.5],Not applicable,USD,6.75,Yes in some,,,,,,,,,
Panama,5.5 [3.6 – 7.4],2.3 [1.6 – 3.1],3 [1.7 – 4.5],Yes,PAB,4.25,Yes in some,,,,,,,,,
Paraguay,18.9 [11.5 – 26.8],22.6 [17 – 30.3],22.6 [17 – 30.3],No,PYG,"2,000",No,,,,,,,,,
Peru,16.4 [12.6 – 20.2],17.9 [13.3 – 22.4],17.9 [13.3 – 22.4],Yes,PEN,10.5,Yes in some,,,,,,,,,
Philippines,39 [29.4 – 47.2],42.7 [33.7 – 51.9],42.7 [33.7 – 51.9],Yes,PHP,40.5,Yes in some,,,,,,,,,
Poland,25.4 [19.7 – 31.1],27.4 [21.6 – 33],27.4 [21.6 – 33],No,PLN,14.7,Yes in some,,,,,,,,,
Portugal,24.5 [18.4 – 30.8],27.5 [21.8 – 33.1],27.5 [21.8 – 33.1],No,EUR,4.8,Yes in some,,,,,,,,,
Qatar,10.2 [6.7 – 14.4],11.9 [8.6 – 15.4],14.1 [10.7 – 17.9],Not applicable,QAR,10,Yes in some,,,,,,,,,
Republic of Korea,38.1 [31.2 – 44.8],40.5 [33.3 – 49.1],40.5 [33.3 – 49.1],Yes,KRW,"4,500",Yes in some,,,,,,,,,
Republic of Moldova,40.1 [29.4 – 49.7],44.3 [34.4 – 55.5],44.3 [34.4 – 55.5],Not applicable,MDL,20,Yes in some,,,,,,,,,
Romania,24.1 [18 – 30.1],26.8 [21.1 – 33.5],26.8 [21.1 – 33.5],No,RON,16,Yes in some,,,,,,,,,
Russian Federation,28.3 [23 – 33.2],28.7 [23.4 – 33.7],28.7 [23.4 – 33.7],No,RUB,105,Yes in some,,,,,,,,,
Rwanda,13.5 [9.4 – 17.8],19.5 [14 – 25.2],20.4 [15 – 25.6],No,RWF,650,No,,,,,,,,,
Samoa,24.1 [15.9 – 32.4],29.9 [20.3 – 41.1],29.9 [20.3 – 41.1],No,WST,11.5,Yes in some,,,,,,,,,
Sao Tome and Principe,4 [2.4 – 6],4.5 [3.2 – 5.9],5.5 [3.9 – 7.4],No,STD,"20,000",Yes in some,,,,,,,,,
Saudi Arabia,18.4 [11.2 – 26.3],12.7 [8.6 – 16.6],2.2 [1.1 – 3.5],Not applicable,SAR,12,Yes in most,,,,,,,,,
Senegal,13 [10 – 15.9],15.1 [12 – 18.1],18.2 [12.1 – 24.1],Yes,XOF,500,Yes in some,,,,,,,,,
Serbia,36.5 [27.8 – 45.5],41.2 [32.9 – 51.3],41.2 [32.9 – 51.3],Not applicable,RSD,220,Yes in some,,,,,,,,,
Seychelles,31.4 [23.4 – 40.1],35.9 [26.3 – 45.4],36 [27.7 – 46.4],Yes,SCR,105,No,,,,,,,,,
Sierra Leone,30.4 [22.7 – 39.4],32.6 [25.5 – 40],32.6 [25.5 – 40],Not applicable,SLL,"3,500",No,,,,,,,,,
Singapore,24.8 [17.6 – 31.2],27.9 [20.9 – 35.5],27.9 [20.9 – 35.5],Not applicable,SGD,13,Yes in most,,,,,,,,,
Slovakia,27 [18.9 – 36.8],32.1 [23.4 – 42.1],32.1 [23.4 – 42.1],No,EUR,3.1,No,,,,,,,,,
Slovenia,21.2 [16.2 – 25.8],23 [18.4 – 27.8],23 [18.4 – 27.8],No,EUR,3.5,Yes in some,,,,,,,,,
Solomon Islands,31.7 [23.8 – 39.9],38.1 [28.4 – 49.2],38.1 [28.4 – 49.2],No,SBD,32,Yes in some,,,,,,,,,
South Africa,28.4 [21 – 36.1],34.6 [27.9 – 42.1],32 [23.2 – 42.6],No,ZAR,35.53,No,,,,,,,,,
Spain,26.7 [21 – 32.5],28.8 [23.4 – 34.1],28.8 [23.4 – 34.1],No,EUR,4.85,Yes in some,,,,,,,,,
Sri Lanka,10.7 [6 – 15.1],14.1 [10.2 – 18.4],3.1 [1.8 – 4.5],Not applicable,LKR,"1,000",Yes in most,,,,,,,,,
Sweden,13.4 [9.4 – 17.1],18.2 [14.8 – 21.4],30.8 [24 – 37.3],No,SEK,63.16,Yes in most,,,,,,,,,
Switzerland,22.4 [16.8 – 28.1],25.4 [20.6 – 30.1],25.4 [20.6 – 30.1],No,CHF,8.5,Yes in some,,,,,,,,,
Thailand,19.6 [16 – 23.4],20.9 [17.4 – 24.8],3.3 [2.6 – 4.2],Not applicable,THB,86,Yes in most,,,,,,,,,
Timor-Leste,5 [3.1 – 7.3],39.9 [31.2 – 48.8],39.9 [31.2 – 48.8],No,USD,1.5,No,,,,,,,,,
Togo,10.5 [6.7 – 14.4],13.9 [8.7 – 18.5],14 [10.4 – 17.1],No,XOF,500,No,,,,,,,,,
Tonga,24.5 [14.1 – 34.4],30.4 [22.5 – 40.5],30.4 [22.5 – 40.5],No,TOP,12,Yes in most,,,,,,,,,
Tunisia,18.7 [11.6 – 26.5],23.5 [17.3 – 30.8],3.1 [1.9 – 4.6],No,TND,2.55,Yes in most,,,,,,,,,
Turkey,27.7 [22.8 – 34.1],29.8 [24.6 – 35.3],29.8 [24.6 – 35.3],No,TRY,10,Yes in some,,,,,,,,,
Tuvalu,31.4 [19.8 – 44.7],38.4 [24.8 – 52.6],50 [33.5 – 68.9],No,AUD,3.5,Yes in most,,,,,,,,,
Uganda,12.7 [9.9 – 15.7],2.9 [2.1 – 3.9],17.2 [13.7 – 21.5],Not applicable,UGX,"3,000",No,,,,,,,,,
Ukraine,25.4 [20.9 – 30.1],26.6 [22.2 – 31.6],26.6 [22.2 – 31.6],Yes,UAH,14.7,Yes in some,,,,,,,,,
United Arab Emirates,11.4 [6.1 – 18.4],14.9 [8.6 – 22.8],18.5 [11.1 – 27.9],Yes,AED,11,Yes in some,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,18 [14.9 – 21.1],20.6 [16.5 – 24.6],20.6 [16.5 – 24.6],No,GBP,8.3,Yes in most,,,,,,,,,
United Republic of Tanzania,17.9 [12.6 – 23.3],2.2 [1.3 – 3.2],24.8 [18.3 – 32.6],Not applicable,TZS,"3,000",Yes in some,,,,,,,,,
United States of America,17.9 [14.9 – 21.1],20.8 [17.3 – 24.9],25.7 [21.1 – 30.9],No,USD,6.43,Yes in some,,,,,,,,,
Uruguay,20.7 [16.3 – 26.1],23.2 [18.4 – 28.2],23.2 [18.4 – 28.2],Yes,UYU,110,Yes in most,,,,,,,,,
Uzbekistan,10.4 [6.8 – 15],12.6 [8.9 – 17.5],12.6 [8.9 – 17.5],No,UZS,"3,000",Yes in some,,,,,,,,,
Vanuatu,2.5 [1.3 – 3.9],3 [1.7 – 4.4],3.4 [2 – 5.2],Not applicable,VUV,720,No,,,,,,,,,
Yemen,21.3 [8.6 – 35.3],27.8 [14.7 – 43.2],33.5 [16.7 – 52.9],Yes,YER,350,No,,,,,,,,,
Zambia,11.7 [9.4 – 14.7],24.8 [19.4 – 30.2],25.7 [20.8 – 31.9],No,ZMW,17,No,,,,,,,,,
Zimbabwe,11.4 [8.5 – 14.6],14.3 [10.1 – 18.8],14.3 [10.1 – 18.8],No,USD,1.75,No,,,,,,,,,
