Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Bangladesh,19.9 [15.4 – 24.3],23.4 [18.9 – 27.4],42.3 [34.7 – 51],Not applicable,BDT,28,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Barbados,10.5 [5.9 – 15.7],2.3 [1.3 – 3.4],2.5 [1.5 – 3.5],Not applicable,BBD,11.29,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Belarus,27.6 [23 – 32.8],29.7 [25 – 35],29.7 [25 – 35],Not applicable,BYR,"3,050",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Belgium,24.7 [18.9 – 30.4],26.5 [21.3 – 32.1],26.5 [21.3 – 32.1],No,EUR,5.26,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Benin,4.7 [3.3 – 6.1],13 [10.1 – 16.3],2.8 [2 – 3.8],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Bosnia and Herzegovina,32.9 [24 – 42.3],40.6 [29.7 – 53],40.6 [29.7 – 53],Not applicable,BAM,2.8,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Botswana,25.4 [16.5 – 34.5],32.5 [24.7 – 41.6],25.6 [20.3 – 31.7],Not applicable,BWP,25,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Brazil,14.4 [11.2 – 17.7],16.2 [13 – 19.9],20.7 [14.9 – 26.4],No,BRL,4.25,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Brunei Darussalam,2.5 [1.5 – 3.4],28.9 [22.3 – 35.8],28.9 [22.3 – 35.8],No,BND,7.4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Bulgaria,38.4 [29.6 – 46.2],42 [34.6 – 50.7],42 [34.6 – 50.7],No,BGN,4.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Burkina Faso,10.6 [7.6 – 13.6],2.9 [1.7 – 4.3],19.1 [14.4 – 24.5],No,XOF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Burundi,16.2 [10.5 – 22.2],19.1 [12.5 – 26],21.4 [15.2 – 27.7],Not applicable,BIF,800,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cambodia,2.9 [2.3 – 3.4],3.2 [2.6 – 3.8],46.9 [38.5 – 55.5],Not applicable,KHR,"1,700",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cameroon,14.9 [10.8 – 19.4],14.9 [10.8 – 19.4],17.5 [13.6 – 21.9],No,XAF,500,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Canada,16.1 [13.4 – 18.8],16.7 [14.2 – 19.4],22.6 [17.7 – 27.4],No,CAD,8.49,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Chad,12.3 [9.2 – 16.1],17.9 [11.9 – 23.4],21.9 [15.5 – 30.4],No,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chile,36.4 [29.1 – 44.9],47.2 [33.2 – 61.7],47.2 [33.2 – 61.7],Yes,CLP,"1,635",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
China,24 [19.1 – 28.7],26.1 [21 – 30.7],26.1 [21 – 30.7],Not applicable,CNY,10.57,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Colombia,4.6 [3.5 – 5.9],14.9 [12 – 18.8],14.9 [12 – 18.8],Yes,COP,"2,269",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Comoros,20.3 [15.5 – 25.8],24.6 [18.7 – 31],24.4 [18.4 – 31],No,KMF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Congo,19 [13.1 – 25.7],10.9 [8.6 – 13],2.5 [1.8 – 3.4],No,XAF,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Cook Islands,24.9 [15.6 – 33.8],31.1 [24.8 – 38.7],31.1 [24.8 – 38.7],No,NZD,12,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Costa Rica,15.9 [12.3 – 20.9],17.7 [13 – 21.9],17.7 [13 – 21.9],Yes,CRC,"1,300",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Croatia,32.2 [24.6 – 39.9],35.8 [29 – 42.9],35.8 [29 – 42.9],No,HRK,20,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Cuba,23.3 [15.3 – 31.3],32.3 [21 – 46.4],32.3 [21 – 46.4],No,CUP,7,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Cyprus,31.3 [23.9 – 39.1],38.3 [28.4 – 47.2],38.3 [28.4 – 47.2],No,EUR,3.75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Czechia,27.7 [22.6 – 33.4],32.5 [27.1 – 38.9],32.5 [27.1 – 38.9],No,CZK,68,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Côte d’Ivoire,11.4 [6.6 – 16.5],13.9 [8.3 – 21.4],2.4 [0.8 – 4.6],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Democratic People's Republic of Korea,16.1 [10.2 – 21.8],19.5 [14.8 – 24.8],19.5 [14.8 – 24.8],No,Data not available,Data not available,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Denmark,21.2 [17.2 – 25.1],23.4 [19.5 – 27.5],23.4 [19.5 – 27.5],No,DKK,40,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Dominican Republic,6.3 [4.6 – 8],13.8 [8.6 – 18.9],13.8 [8.6 – 18.9],No,DOP,130,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Egypt,17.1 [13.7 – 21],21.1 [17.4 – 25.2],21.1 [17.4 – 25.2],Yes,EGP,6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
El Salvador,2.1 [1.1 – 3.1],2.7 [1.4 – 4],25.8 [16.4 – 37.6],Not applicable,USD,1.95,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Eritrea,10.5 [6.4 – 15.3],12.9 [9 – 17.3],17 [11.4 – 23.3],No,ERN,40,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Estonia,30.2 [24 – 37],33.6 [27.6 – 39.4],33.6 [27.6 – 39.4],No,EUR,3.1,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Eswatini,15 [10.7 – 19.2],16.3 [12.7 – 21.1],18.9 [14.5 – 23.3],Not applicable,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Ethiopia,3.2 [2.5 – 3.9],3.8 [2.9 – 4.6],5.2 [4 – 6.5],Not applicable,ETB,8,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Fiji,36.5 [20.3 – 54.7],28.5 [17.8 – 39.6],28.5 [17.8 – 39.6],Not applicable,FJD,7.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Finland,19.7 [15.1 – 24.4],22.3 [18.6 – 26.2],22.3 [18.6 – 26.2],No,EUR,4.89,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
France,31.4 [23.9 – 39.1],34.5 [27.9 – 41.8],34.5 [27.9 – 41.8],No,EUR,6.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gambia,12.4 [9 – 16.4],16.6 [11.6 – 21.5],2.1 [1.5 – 2.9],No,GMD,15,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Georgia,5 [3.9 – 6.5],5.5 [4.1 – 6.8],5.5 [4.1 – 6.8],No,GEL,1.9,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Germany,27.7 [22.7 – 33.4],29.7 [25 – 34.9],29.7 [25 – 34.9],No,EUR,5.26,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Ghana,3.1 [2.1 – 4.2],4.1 [2.8 – 5.5],4.4 [3.2 – 5.8],No,GHS,2,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Greece,38.3 [29.6 – 47.1],42.1 [33.8 – 51.2],42.1 [33.8 – 51.2],No,EUR,3.7,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Guyana,2.9 [2.1 – 3.9],2.9 [2.1 – 3.9],2.9 [2.1 – 3.9],Not applicable,GYD,300,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Haiti,3 [2 – 3.8],4 [0 – 0],4 [0 – 0],Not applicable,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Hungary,31.1 [24.4 – 38.5],33.5 [26.9 – 39.9],33.5 [26.9 – 39.9],No,HUF,757.9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Iceland,14.1 [9.1 – 19.9],17.8 [13.6 – 22.6],17.8 [13.6 – 22.6],No,ISK,998,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
India,12.5 [9.8 – 15],2.6 [2 – 3.2],32.6 [25.8 – 39.8],Yes,INR,98,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Indonesia,30.8 [25.3 – 36.8],30.8 [25.3 – 36.8],69.3 [56.6 – 83],No,IDR,"16,667",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Iran (Islamic Republic of),10 [7.5 – 12.6],2.1 [1.6 – 2.7],27.7 [23 – 33.8],Yes,IRR,"12,000",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,9
Iraq,2.1 [1 – 3.5],3.7 [2.2 – 5.3],4.7 [2.9 – 6.6],Yes,IQD,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Ireland,24.1 [19.5 – 28.7],26.9 [21.6 – 32.8],26.9 [21.6 – 32.8],No,EUR,9.1,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Israel,23.2 [17.9 – 28.6],27.2 [20.6 – 33.6],27.2 [20.6 – 33.6],No,ILS,23,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Italy,23.6 [19.9 – 27.7],24.3 [20.6 – 28.5],24.3 [20.6 – 28.5],No,EUR,5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Jamaica,16.9 [10.8 – 22.2],20.8 [12.7 – 31.4],20.8 [12.7 – 31.4],Not applicable,JMD,660,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Japan,24.2 [20.2 – 28.2],25.1 [20.7 – 29.2],25.1 [20.7 – 29.2],No,JPY,410,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kazakhstan,42.9 [34.4 – 52.1],46.3 [37.7 – 56.4],46.3 [37.7 – 56.4],Yes,KZT,130,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Kenya,18.9 [15.2 – 22.8],11.9 [9 – 14.6],24 [19.5 – 28.5],No,KES,90,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kiribati,45.5 [26.7 – 64],56.7 [41.9 – 70.4],56.7 [41.9 – 70.4],Not applicable,AUD,4.8,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kuwait,15.2 [9.5 – 21.3],3 [2.2 – 3.8],4.2 [3.1 – 5.5],Yes,KWD,0.65,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Kyrgyzstan,3.3 [2.2 – 4.2],3.8 [2.7 – 5.1],3.8 [2.7 – 5.1],Yes,KGS,24,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lao People's Democratic Republic,45.2 [35.3 – 56.5],54.7 [43.7 – 67],44.4 [33.9 – 55.4],No,LAK,"6,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Latvia,33.7 [26 – 41.7],37.9 [31.4 – 44.9],37.9 [31.4 – 44.9],Not applicable,LVL,1.8,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lebanon,27.7 [20.7 – 34.7],34.1 [26.3 – 42.8],42.9 [30.8 – 57.1],No,LBP,"2,750",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Lesotho,19.1 [14.8 – 23.5],24.5 [18.3 – 31.8],47.6 [38.1 – 58.4],Not applicable,LSL,32,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Liberia,14.5 [8.7 – 20.9],15.4 [12.1 – 18.7],2.7 [1.8 – 3.8],Not applicable,LRD,65,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lithuania,27 [21.2 – 33],29.8 [24.8 – 35.3],29.8 [24.8 – 35.3],No,LTL,8.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Luxembourg,21.9 [17.4 – 26.2],24 [19.8 – 28.6],24 [19.8 – 28.6],No,EUR,4.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Madagascar,15.6 [12.3 – 19.9],21.7 [15.1 – 29.4],32.5 [24.3 – 41.2],No,MGA,"2,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Malawi,19.8 [15.6 – 23.5],22.4 [18.2 – 26.4],24.9 [20.5 – 30.7],Not applicable,MWK,500,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malaysia,20.2 [14.5 – 25.6],23.8 [18.8 – 29],23.8 [18.8 – 29],Not applicable,MYR,10,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Mali,18.1 [14.1 – 22.4],2.1 [1.1 – 3],2.1 [1.1 – 3],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malta,24.7 [18.8 – 30.5],27.8 [22.1 – 33.8],27.8 [22.1 – 33.8],Not applicable,EUR,4.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Mauritius,3.4 [2.7 – 4.3],4 [3 – 5.1],50.9 [31.7 – 70],Not applicable,MUR,105,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Mexico,23.2 [19.1 – 27.5],25.2 [21.3 – 30.2],25.2 [21.3 – 30.2],No,MXN,40,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Mongolia,39.7 [24.3 – 51.8],48.6 [38.7 – 58.3],53.7 [42.3 – 66.4],No,MNT,800,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Morocco,13.2 [10.1 – 17.1],15.7 [12.3 – 19.5],17.1 [13.6 – 21.1],No,MAD,17.5,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Mozambique,2 [1.1 – 2.9],30.7 [21.9 – 40.4],28.6 [22.8 – 35.5],No,MZN,25,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Myanmar,3.8 [2 – 5.7],42.3 [33.3 – 52.5],50.5 [39.6 – 61.9],Not applicable,MMK,650,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Namibia,22.2 [16.9 – 27.3],21.4 [15.4 – 27],19.6 [4.1 – 7.2],No,NAD,29.49,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Nauru,40.6 [24.7 – 56.8],49.9 [37 – 63.6],57.5 [43.3 – 73.4],No,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Nepal,22.5 [18 – 27.2],25.3 [21.2 – 30.2],40 [31.7 – 48.2],Yes,NPR,95,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Netherlands,22.3 [16.7 – 27.9],26.1 [21.9 – 30.5],26.1 [21.9 – 30.5],No,EUR,5.68,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
New Zealand,17.6 [14.6 – 20.6],18.6 [15.7 – 21.8],18.6 [15.7 – 21.8],No,NZD,14.5,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Niger,11.6 [8.5 – 14.8],13.5 [10.9 – 16.2],15.4 [12.5 – 19.1],Not applicable,XOF,400,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Nigeria,4.1 [2.7 – 5.4],4.7 [3.7 – 5.7],10.1 [7.7 – 12.4],Not applicable,NGN,200,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Norway,19.4 [13.1 – 25.8],24.4 [20.4 – 28.6],16.7 [14.2 – 19.4],No,NOK,87.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Oman,11 [7.7 – 13.8],14.6 [11.5 – 18.1],18.2 [13.6 – 23.4],Not applicable,OMR,0.9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,9
Pakistan,28.8 [21.3 – 37],37.7 [28 – 46.7],40.4 [31.6 – 51.2],Not applicable,PKR,33,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Palau,24.4 [14.1 – 34.1],20.4 [15.5 – 26.4],26.6 [18 – 37.6],Not applicable,USD,3.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,9
Panama,2.4 [1.7 – 3.1],2.8 [2.1 – 3.5],3.6 [2.2 – 5.1],Yes,PAB,3.73,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Paraguay,22.2 [14.8 – 30.2],26.7 [20.3 – 33.3],26.7 [20.3 – 33.3],Not applicable,PYG,"1,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Peru,21.4 [16.4 – 26.6],23.4 [17.6 – 28.7],23.4 [17.6 – 28.7],Yes,PEN,5.2,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Philippines,42 [33.4 – 50.2],46 [38.1 – 54.9],46 [38.1 – 54.9],No,PHP,15,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Poland,28 [22.8 – 33],30.1 [24.8 – 35.4],30.1 [24.8 – 35.4],No,PLN,11.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Portugal,23.8 [18.1 – 29.2],26.8 [21.9 – 31.8],26.8 [21.9 – 31.8],No,EUR,4.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Qatar,10.1 [6.9 – 13.8],12.3 [9.1 – 15.8],14.3 [11.1 – 18],Yes,QAR,9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Republic of Korea,42.6 [35.2 – 49.8],45.2 [37.7 – 53.4],45.2 [37.7 – 53.4],Not applicable,KRW,"2,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Republic of Moldova,39.6 [31.6 – 47.9],44.2 [35.7 – 53.7],44.2 [35.7 – 53.7],Not applicable,MDL,13,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Romania,26.8 [20.8 – 32.5],29.8 [24.6 – 36],29.8 [24.6 – 36],No,RON,13.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Russian Federation,29.4 [24.2 – 33.9],29.9 [24.9 – 34.6],29.9 [24.9 – 34.6],No,RUB,44,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Rwanda,14.9 [11 – 19.4],21.3 [16 – 26.7],22.2 [17.5 – 27.7],Not applicable,RWF,600,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Samoa,26 [18.8 – 33.6],32.3 [23.6 – 41.2],32.3 [23.6 – 41.2],No,WST,8.6,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Sao Tome and Principe,4 [2.6 – 5.7],4.5 [3.3 – 5.7],5.6 [4.1 – 7.3],Not applicable,STD,"20,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Saudi Arabia,17.9 [11.8 – 24.1],12.7 [9.3 – 16.3],2.6 [1.4 – 4],Not applicable,SAR,9,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Senegal,14.1 [11.1 – 16.9],16.4 [13.2 – 19.2],10.6 [7.7 – 14.3],No,XOF,400,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Serbia,37.5 [28.9 – 46.2],42.2 [33.9 – 50.5],42.2 [33.9 – 50.5],Not applicable,RSD,110,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Seychelles,32.5 [24.7 – 41.1],37.3 [29 – 45.7],37.3 [29.4 – 46.4],Yes,SCR,75,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Sierra Leone,32.9 [25.4 – 40.8],24 [19.3 – 29.3],24 [19.3 – 29.3],Not applicable,SLL,"2,400",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Singapore,24.8 [19.2 – 30.3],27.7 [21.8 – 33.7],27.7 [21.8 – 33.7],No,SGD,11.9,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Slovakia,26.8 [19.1 – 33.8],32 [24.6 – 40.2],32 [24.6 – 40.2],No,EUR,2.74,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Slovenia,21.8 [17 – 26.8],23.5 [19.1 – 28.2],23.5 [19.1 – 28.2],No,EUR,2.9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Solomon Islands,32.6 [24.7 – 40.9],39.1 [30.6 – 48.5],39.1 [30.6 – 48.5],No,SBD,24,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
South Africa,28.6 [21.2 – 36.3],35.1 [29 – 42.1],33.1 [23.6 – 43],No,ZAR,27.81,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Spain,28.5 [22.8 – 34.3],30.6 [25.6 – 36.8],30.6 [25.6 – 36.8],No,EUR,4.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Sri Lanka,11 [6.5 – 15.3],14.6 [11.5 – 18.3],4 [2.6 – 5.6],Not applicable,LKR,500,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Sweden,15.5 [11.2 – 19.7],20.9 [17.5 – 24.5],35.1 [28.3 – 42.5],No,SEK,53,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Switzerland,23 [16.9 – 28.5],26.2 [22 – 30.7],26.2 [22 – 30.7],No,CHF,7.9,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Thailand,20.6 [16.9 – 23.8],22.1 [18.3 – 25.4],3.8 [2.9 – 4.8],Not applicable,THB,58,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Timor-Leste,5.5 [3.5 – 7.9],43.7 [35.8 – 52.6],43.7 [35.8 – 52.6],Not applicable,USD,1.25,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Togo,11.2 [7.8 – 15.5],14.9 [9.9 – 19.6],2.4 [1.6 – 3.2],No,XOF,400,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Tonga,25 [14.8 – 33.5],31 [24 – 38.3],31 [24 – 38.3],No,TOP,8,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Tunisia,20.4 [13.2 – 28.5],25.6 [19.5 – 31.8],3.7 [2.3 – 5.1],No,TND,2.25,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
