Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,44.9 [34.8 – 55.6],52.3 [40.3 – 64.4],52.3 [40.3 – 64.4],No,All,170,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Algeria,11.6 [6.8 – 16.7],15.2 [11.3 – 19.7],19.8 [12.4 – 28.2],No,DZD,85,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
Andorra,28.3 [16.8 – 39.4],34.5 [24.7 – 45.1],34.5 [24.7 – 45.1],Not applicable,EUR,3.1,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Argentina,23.6 [19 – 28.4],26 [21.5 – 31.4],27.8 [21.9 – 34.4],Yes,ARS,8,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Armenia,27.3 [22 – 31.8],29.1 [24.2 – 33.8],29.1 [24.2 – 33.8],Not applicable,AMD,600,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Australia,13.7 [9.3 – 18.2],16.8 [13.9 – 19.6],19.3 [16.3 – 22.8],No,AUD,13.63,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Austria,31.9 [25.8 – 38.8],34.2 [27.5 – 41.1],34.2 [27.5 – 41.1],No,EUR,4.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Azerbaijan,17.5 [12.5 – 23.4],21.9 [15.3 – 29.8],21.9 [15.3 – 29.8],Not applicable,AZN,1.1,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Bahamas,2.8 [1.1 – 4.4],18.5 [11.6 – 26.7],18.5 [11.6 – 26.7],Not applicable,BSD,5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Bahrain,14.1 [9.2 – 19.2],34.2 [23.2 – 45.1],42 [25.6 – 59.9],Not applicable,BHD,1,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
