Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Saudi Arabia,17.8 [12.2 – 23.8],2.2 [1.5 – 3.1],2.9 [1.7 – 4.4],Not applicable,SAR,7,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Senegal,14.8 [11.9 – 18.3],17.1 [14.1 – 20.6],11.2 [8.1 – 14.9],No,XOF,400,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0
Serbia,38 [29 – 46.9],42.7 [34.3 – 51],42.7 [34.3 – 51],Not applicable,RSD,75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Seychelles,33.2 [24.9 – 41],37.9 [29.7 – 46.7],38.1 [29.8 – 46.9],No,SCR,74,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Sierra Leone,34.2 [26.3 – 42.8],25.7 [20.7 – 31.3],25.7 [20.7 – 31.3],Not applicable,SLL,"1,600",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Singapore,24.7 [19.6 – 30],27.7 [22.4 – 33.5],27.7 [22.4 – 33.5],No,SGD,11.6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Slovakia,26.9 [19.2 – 33.9],31.9 [25.4 – 39.3],31.9 [25.4 – 39.3],No,EUR,2.42,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Slovenia,22 [17.5 – 26.5],23.8 [19.6 – 28.1],23.8 [19.6 – 28.1],No,EUR,2.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Solomon Islands,32.8 [24.3 – 41.1],39.5 [31.9 – 49.2],39.5 [31.9 – 49.2],No,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
South Africa,29.1 [22.2 – 37.1],35.2 [28.9 – 42.6],33.9 [24.9 – 45.8],No,ZAR,24.83,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Spain,29.5 [23.8 – 35.9],31.6 [26.4 – 37.4],31.6 [26.4 – 37.4],No,EUR,3.4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Sri Lanka,11.2 [7 – 15.7],14.8 [11.6 – 17.9],4.6 [3 – 6.4],Not applicable,LKR,380,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Sweden,16.6 [12.2 – 21.5],22.6 [18.7 – 26.7],37.6 [30.4 – 45.6],No,SEK,50,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Switzerland,23.3 [17.5 – 28.8],26.6 [22.1 – 31.1],26.6 [22.1 – 31.1],No,CHF,7.2,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Thailand,21.3 [17.6 – 24.8],22.7 [19.1 – 26.5],4.1 [3.1 – 5.2],Not applicable,THB,58,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Timor-Leste,5.8 [3.5 – 8.5],45.6 [37.2 – 55.1],45.6 [37.2 – 55.1],Not applicable,USD,1.25,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Togo,11.6 [8.1 – 16.2],15.3 [10.6 – 20.6],2.7 [1.7 – 3.7],No,XOF,380,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Tonga,25.3 [16 – 34.4],31.3 [24.8 – 38.7],31.3 [24.8 – 38.7],No,TOP,7.3,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Tunisia,21.4 [14.1 – 28.9],26.9 [20.7 – 32.9],4 [2.5 – 5.6],No,TND,1.9,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Turkey,29.4 [23.8 – 34.5],31.7 [26.7 – 37.2],31.7 [26.7 – 37.2],No,TRY,4.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Tuvalu,34 [23.9 – 44],41.7 [29.5 – 55.2],54.4 [39.7 – 74.7],No,AUD,6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Uganda,16.7 [13.4 – 20.7],19.1 [15.4 – 23.5],22.8 [18.1 – 27.5],Not applicable,UGX,"1,500",Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Ukraine,29.3 [24.1 – 34.1],30.7 [25.9 – 35.4],30.7 [25.9 – 35.4],Yes,UAH,5.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
United Arab Emirates,12.1 [6.9 – 18.3],15.8 [10.6 – 21.4],19.4 [12.2 – 27.3],Yes,AED,7,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
United Kingdom of Great Britain and Northern Ireland,22.2 [18.6 – 26.1],25.4 [20.8 – 30],25.4 [20.8 – 30],No,GBP,6.29,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
United Republic of Tanzania,11.6 [8 – 15.1],2.7 [1.6 – 3.8],29.7 [22 – 37.2],No,TZS,"2,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
United States of America,20.3 [16.7 – 23.4],23.6 [19.7 – 27.8],27.9 [23 – 32.8],No,USD,5.72,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Uruguay,25.2 [20.4 – 30.2],28.3 [23.2 – 33.1],28.3 [23.2 – 33.1],Yes,UYU,70,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Uzbekistan,11.3 [8.3 – 14.6],13.8 [10.3 – 18],13.8 [10.3 – 18],No,UZS,"1,100",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Vanuatu,2.8 [1.4 – 4.2],3.4 [2.2 – 4.9],3.9 [2.4 – 5.7],Not applicable,VUV,653,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Yemen,23.4 [12.4 – 39.7],30.4 [18.5 – 44.6],24.5 [13.4 – 37],No,YER,180,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Zambia,12.7 [10.1 – 15.2],26.5 [21.4 – 31.6],27.8 [22.9 – 33.5],No,ZMK,"8,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Zimbabwe,12.4 [9.8 – 15.4],15.6 [12 – 19.3],15.6 [12 – 19.3],No,USD,0.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
