Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Japan,25.4 [21.4 – 30.1],26.4 [22.3 – 30.7],26.4 [22.3 – 30.7],No,JPY,300,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kazakhstan,44.5 [36.2 – 53.3],47.8 [39.6 – 56.6],47.8 [39.6 – 56.6],No,KZT,100,Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4
Kenya,10.2 [8.3 – 12.4],12.5 [9.9 – 15.2],25.1 [19.8 – 29.8],No,KES,100,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kiribati,46.9 [27.6 – 65.5],58.1 [44.9 – 72],58.1 [44.9 – 72],Not applicable,AUD,6.4,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kuwait,15.4 [9.3 – 21.1],3.4 [2.5 – 4.3],4.5 [3.2 – 5.9],Not applicable,KWD,0.47,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Kyrgyzstan,3.4 [2.5 – 4.5],4 [2.8 – 5.2],4 [2.8 – 5.2],Yes,KGS,23,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Lao People's Democratic Republic,47.1 [36.5 – 59.4],33.8 [27.7 – 41.3],47 [36 – 58.4],No,LAK,"5,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Latvia,33.9 [26.3 – 41.4],38.4 [32.4 – 45.2],38.4 [32.4 – 45.2],Not applicable,LVL,1.52,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Lebanon,28.3 [21.6 – 34.9],34.1 [25.5 – 42.8],42.9 [29.7 – 56.9],No,LBP,"2,250",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2
Lesotho,17.9 [13.8 – 22.2],23 [17.5 – 29.7],45.3 [35.4 – 54.5],Not applicable,LSL,28,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Liberia,15 [9 – 21.6],16 [13 – 19.8],17.7 [13.5 – 22.3],Not applicable,LRD,50,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Lithuania,27.9 [22.2 – 33.9],30.8 [25.7 – 36.5],30.8 [25.7 – 36.5],No,LTL,7.6,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8
Luxembourg,22.7 [18.3 – 27.4],24.9 [20.7 – 29.6],24.9 [20.7 – 29.6],No,EUR,3.68,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Madagascar,15.8 [12.4 – 20.1],22.2 [14.9 – 29.9],34 [26.5 – 43.9],No,MGA,"2,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Malawi,2.3 [1.3 – 3.4],24 [19.7 – 28.9],26.8 [21.9 – 32.4],Not applicable,Data not available,Data not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malaysia,20.9 [15.2 – 26.8],24.5 [19.6 – 29.6],24.5 [19.6 – 29.6],Not applicable,MYR,10,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Mali,18.1 [13.9 – 22.3],2.3 [1.3 – 3.5],2.3 [1.3 – 3.5],No,XOF,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Malta,25.5 [19.9 – 31.7],28.6 [23.4 – 34.4],28.6 [23.4 – 34.4],Not applicable,EUR,4,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
Mauritius,3.5 [2.6 – 4.2],4.1 [3.1 – 5],52.2 [35.7 – 71.9],Not applicable,MUR,75,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,5
