Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Bangladesh,19.1 [15.1 – 23.9],22.6 [18.4 – 26.7],41.1 [33.2 – 50.1],No,BDT,30,Yes in some,7,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5
Barbados,10.3 [5.7 – 15.8],2.2 [1.2 – 3.3],2.4 [1.4 – 3.5],Not applicable,BBD,13.85,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Belarus,26.7 [21.9 – 31.9],28.7 [24.1 – 33.9],28.7 [24.1 – 33.9],Not applicable,BYR,"7,050",Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Belgium,24.2 [18.1 – 29.8],25.9 [20.8 – 31.7],25.9 [20.8 – 31.7],No,EUR,5.79,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,8
Benin,4.5 [3.1 – 5.8],12.4 [9.5 – 16],2.5 [1.8 – 3.3],No,XOF,500,No,4,10,0,10,5,Not applicable,Not applicable,5,4
Bosnia and Herzegovina,32.3 [22.7 – 42.5],39.7 [27.3 – 53.1],39.7 [27.3 – 53.1],Not applicable,BAM,3.7,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Botswana,25.7 [16.3 – 35.7],32.8 [24.4 – 42.1],24.9 [19.3 – 31],Not applicable,BWP,27.33,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Brazil,17.2 [13.5 – 21.7],15.2 [12 – 18.9],19.2 [13.8 – 25.1],No,BRL,5.75,Yes in some,x,x,x,x,10,x,x,x,10
Brunei Darussalam,2.3 [1.4 – 3.3],2.9 [2 – 3.7],2.9 [2 – 3.7],No,Not applicable,Not applicable,Yes in some,10,8,10,10,10,8,7,8,7
Bulgaria,37.6 [29.1 – 45.5],41.1 [32.6 – 49.4],41.1 [32.6 – 49.4],No,BGN,4.7,No,8,8,10,7,10,2,3,8,7
Burkina Faso,10.4 [7.6 – 13.9],2.5 [1.4 – 3.8],26.5 [20.5 – 32.4],No,XOF,500,No,5,5,5,6,5,1,5,5,4
Burundi,15.5 [10 – 21.3],18.4 [11.7 – 25.1],20.5 [15.3 – 27],Not applicable,BIF,"1,600",No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Cambodia,2.5 [2 – 3],2.7 [2.2 – 3.2],43.4 [35.7 – 51.7],Not applicable,KHR,"1,800",Yes in some,x,x,x,x,x,x,Not applicable,x,Not applicable
Cameroon,14.9 [10.8 – 19.5],14.9 [10.8 – 19.5],17.5 [12.9 – 21.5],No,XAF,500,No,9,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,5,5
Canada,14.8 [12.5 – 17.4],15.4 [13 – 17.9],20.7 [16.6 – 25.6],No,CAD,9.25,Yes in most,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10
Chad,12.4 [8.9 – 16],18 [12 – 24.4],2.9 [1.6 – 4.3],No,XAF,700,No,8,7,9,9,9,8,8,4,6
Chile,35.7 [27.7 – 45.6],46.2 [31.9 – 61.2],46.2 [31.9 – 61.2],Yes,CLP,"1,701",No,9,10,10,10,10,9,9,9,10
China,23.4 [18.6 – 28.2],25.5 [20.3 – 30.9],25.5 [20.3 – 30.9],Not applicable,CNY,11.61,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,4
Colombia,4.1 [3 – 5.1],4.6 [3.6 – 5.7],4.6 [3.6 – 5.7],Yes,COP,"2,479",No,9,6,9,9,6,4,5,4,5
Comoros,19.8 [14.6 – 24.9],23.9 [16.5 – 30.1],22.6 [16.1 – 29.1],No,KMF,500,No,6,6,5,Not applicable,3,Not applicable,Not applicable,6,5
Congo,10.6 [6.8 – 14.1],11.4 [9.1 – 13.9],2.3 [1.6 – 3.1],No,XAF,600,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cook Islands,23.6 [14.8 – 32.7],29.5 [22.4 – 36.7],29.5 [22.4 – 36.7],No,NZD,19,Yes in most,Not applicable,10,Not applicable,Not applicable,8,3,Not applicable,Not applicable,5
Costa Rica,14.9 [10.8 – 19.5],16.7 [12.4 – 21.5],16.7 [12.4 – 21.5],Yes,CRC,"1,600",Yes in some,8,10,10,10,10,8,10,8,10
Croatia,32.4 [24.9 – 41.3],36.1 [28.6 – 43.5],36.1 [28.6 – 43.5],No,HRK,23,Yes in some,9,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,8,6
Cuba,21.8 [13.9 – 30.1],30.4 [17.9 – 43.6],30.4 [17.9 – 43.6],No,CUP,7,Yes in most,5,Not applicable,5,Not applicable,3,Not applicable,Not applicable,5,5
Cyprus,30.7 [22.6 – 39.1],37.6 [28.3 – 46.9],37.6 [28.3 – 46.9],No,EUR,4,No,5,5,7,Not applicable,Not applicable,0,3,5,8
Czechia,27.4 [22.1 – 33.7],32.2 [26.7 – 38.1],32.2 [26.7 – 38.1],No,CZK,72,Yes in some,10,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,9,5
Côte d’Ivoire,10.9 [6.4 – 15.7],13.4 [8 – 20.3],2.1 [0.8 – 4.1],No,XOF,700,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Democratic People's Republic of Korea,16 [9.7 – 21.9],19.2 [14.4 – 24.6],19.2 [14.4 – 24.6],No,KPW,197.1,Yes in most,9,Not applicable,9,Not applicable,9,Not applicable,Not applicable,Not applicable,5
Denmark,19.6 [16 – 23.3],21.6 [18.3 – 25.8],21.6 [18.3 – 25.8],No,DKK,44,Yes in some,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8
Dominican Republic,5.8 [4.2 – 7.6],12.9 [8.1 – 19.1],12.9 [8.1 – 19.1],No,DOP,150,No,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,7
Egypt,17.4 [13.1 – 21.2],21.3 [17.2 – 25.4],21.3 [17.2 – 25.4],Yes,EGP,8,No,5,0,7,Not applicable,2,Not applicable,Not applicable,2,7
El Salvador,2 [1.1 – 3],19.9 [12.4 – 29.3],2.9 [1.8 – 4.4],Not applicable,USD,2,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Eritrea,10.1 [5.9 – 14.6],12.3 [8.2 – 16.4],16 [10.9 – 22.4],No,ERN,60,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Estonia,29.3 [22.6 – 36.3],32.4 [27.2 – 39.1],32.4 [27.2 – 39.1],No,EUR,3.5,No,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7
Eswatini,15.1 [11.2 – 20],16.3 [11.8 – 21.3],19 [14.6 – 24],No,SZL,35,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ethiopia,3.1 [2.4 – 3.9],3.6 [2.8 – 4.4],5 [3.8 – 6.2],No,ETB,15,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Fiji,35.8 [19.4 – 54.8],27.7 [16.5 – 39.2],27.7 [16.5 – 39.2],Not applicable,FJD,7.8,Yes in some,Not applicable,Not applicable,8,Not applicable,5,Not applicable,9,Not applicable,6
Finland,18.9 [14.2 – 22.9],21.3 [17.8 – 25.2],21.3 [17.8 – 25.2],No,EUR,5.47,Yes in most,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10
France,31.5 [23.8 – 39.1],34.6 [27.1 – 41.9],34.6 [27.1 – 41.9],No,EUR,7,Yes in some,8,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,6,9
Gambia,12.1 [8.6 – 15.8],16.1 [11.3 – 21.3],15.7 [12.2 – 18.9],No,GMD,30,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Georgia,5 [3.6 – 6.4],5.4 [4.1 – 7],5.4 [4.1 – 7],No,GEL,2.2,Yes in some,5,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,1,0
Germany,27.1 [22 – 32.8],29.1 [24.2 – 34.1],29.1 [24.2 – 34.1],No,EUR,5.47,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ghana,2.9 [1.9 – 4],3.9 [2.6 – 5.5],4.1 [3 – 5.6],No,GHS,2.5,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Greece,37.4 [28.2 – 45.9],41.2 [32.5 – 51],41.2 [32.5 – 51],No,EUR,4,Yes in some,7,5,7,7,8,0,2,5,3
Guyana,2.7 [1.8 – 3.6],2.7 [1.8 – 3.6],2.7 [1.8 – 3.6],Not applicable,GYD,300,Yes in some,10,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,3,4
Haiti,2.8 [1.8 – 3.6],3.8 [0 – 0],3.8 [0 – 0],Not applicable,Data not available,Data not available,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Hungary,30.1 [23.5 – 37],32.4 [25.7 – 39.5],32.4 [25.7 – 39.5],No,HUF,"1,000",Yes in some,10,10,10,10,Not applicable,10,10,10,10
Iceland,13 [8 – 18.1],16.4 [12.1 – 20.8],16.4 [12.1 – 20.8],No,ISK,"1,219",Yes in some,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10
India,12.4 [9.7 – 14.9],2.1 [1.6 – 2.6],30.6 [24.2 – 37.2],Yes,INR,138,Yes in some,8,5,10,9,7,Not applicable,Not applicable,5,6
Indonesia,30.8 [24.7 – 36.3],30.8 [24.7 – 36.3],6.8 [5.1 – 8.5],Yes,IDR,"18,333",Yes in some,6,Not applicable,8,Not applicable,1,Not applicable,Not applicable,0,1
Iran (Islamic Republic of),18.1 [13.7 – 22.4],11.7 [9.4 – 14.1],26.6 [21 – 31.8],Yes,IRR,"15,000",Yes in some,9,8,9,9,8,2,6,7,6
Iraq,14.7 [7.7 – 21],3.2 [1.8 – 4.8],4.3 [2.7 – 6.3],Yes,IQD,500,No,Not applicable,Not applicable,Not applicable,Not applicable,5,x,x,Not applicable,2
Ireland,23 [18.5 – 27.7],25.9 [20.8 – 31.5],25.9 [20.8 – 31.5],No,EUR,9.6,Yes in some,10,10,10,10,10,10,10,10,10
Israel,22.7 [17.2 – 28.6],26.6 [19.1 – 33.7],26.6 [19.1 – 33.7],No,ILS,30,Yes in some,Not applicable,Not applicable,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not available
Italy,23.3 [19.6 – 27],24 [19.8 – 28],24 [19.8 – 28],No,EUR,5,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jamaica,15.9 [10.8 – 22.5],19.7 [10.8 – 30.2],19.7 [10.8 – 30.2],Yes,JMD,800,Yes in most,10,10,10,10,8,2,7,7,7
Japan,23.1 [19.2 – 27.3],23.9 [19.1 – 27.7],23.9 [19.1 – 27.7],No,JPY,430,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kazakhstan,41.8 [32.3 – 51.1],45 [35.9 – 54.2],45 [35.9 – 54.2],Yes,KZT,210,Yes in some,6,6,6,8,Not applicable,5,Not applicable,6,6
Kenya,18.1 [13.6 – 21.6],11.3 [9 – 14.2],22.9 [18.7 – 27.8],Yes,KES,100,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kiribati,44.2 [25.2 – 63.1],55.2 [40.8 – 70.4],55.2 [40.8 – 70.4],No,AUD,4.8,Yes in most,Not applicable,6,6,5,Not applicable,Not applicable,Not applicable,Not applicable,8
Kuwait,15.1 [9.5 – 21.4],2.7 [1.9 – 3.5],3.9 [2.9 – 5.2],Yes,KWD,0.75,Yes in most,Not available,Not available,Not available,Not applicable,Not available,Not available,Not available,Not available,Not available
Kyrgyzstan,3.1 [2 – 4.2],3.7 [2.4 – 4.9],3.7 [2.4 – 4.9],Yes,KGS,35,Yes in most,Not available,Not available,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not available,Not available
Lao People's Democratic Republic,43.3 [32.7 – 53.7],52.4 [41 – 63.5],42.2 [31.8 – 53.8],No,LAK,"8,000",No,9,Not applicable,8,Not applicable,6,Not applicable,Not applicable,6,5
Latvia,33.3 [25.3 – 40.9],37.5 [31.2 – 45],37.5 [31.2 – 45],Not applicable,EUR,3,Yes in some,8,8,Not applicable,Not applicable,Not applicable,7,8,8,8
Lebanon,27 [19.9 – 34.5],34 [25.8 – 43.1],42.7 [30.4 – 56.3],No,LBP,"3,250",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lesotho,20.5 [15.2 – 25.1],26.3 [19.4 – 34.1],49.8 [38.1 – 60.3],Not applicable,LSL,34.99,Yes in most,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2
Liberia,14.1 [8.1 – 20.4],14.7 [11.7 – 17.9],2.3 [1.5 – 3.2],Not applicable,LRD,60,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lithuania,26.2 [20.7 – 32],29 [23.2 – 34.6],29 [23.2 – 34.6],No,LTL,9.4,Yes in some,6,Not applicable,5,Not applicable,Not applicable,10,10,5,7
Luxembourg,21.1 [17 – 25.3],23.3 [19.4 – 28.1],23.3 [19.4 – 28.1],No,EUR,5,Yes in some,10,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,10
Madagascar,15.3 [11.3 – 19.4],21.4 [13.9 – 28.6],31.2 [22.9 – 39.8],No,MGA,"3,000",No,8,7,9,7,7,1,3,2,6
Malawi,18.5 [14.7 – 22.5],21 [17 – 25],23.3 [18.9 – 28.3],Not applicable,MWK,800,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Malaysia,19.8 [14.3 – 26.2],23.1 [18.2 – 28.9],23.1 [18.2 – 28.9],Not applicable,MYR,12,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Mali,18 [13.8 – 22.4],12.1 [8.4 – 16.3],12.1 [8.4 – 16.3],No,XOF,700,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Malta,23.8 [17.8 – 29.6],26.8 [20.9 – 32.6],26.8 [20.9 – 32.6],Not applicable,EUR,4.8,Yes in some,7,8,7,7,10,5,8,7,7
Mauritius,3.4 [2.4 – 4.3],3.9 [2.9 – 4.9],49.9 [31.6 – 70.7],Not applicable,MUR,125,Yes in some,6,10,8,Not applicable,9,1,9,5,6
Mexico,21.9 [17.6 – 26.3],23.8 [19.6 – 28.1],23.8 [19.6 – 28.1],No,MXN,45,Yes in most,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3
Mongolia,38.8 [24.5 – 52.9],47.7 [37.8 – 58.9],52 [40 – 65.1],No,MNT,"1,600",No,7,7,8,6,5,9,9,7,8
Morocco,12.7 [9.5 – 16.5],15 [11.7 – 18.9],16.4 [12.8 – 20.3],No,MAD,19.5,Yes in most,6,5,10,5,Not applicable,Not applicable,Not applicable,5,6
Mozambique,12.3 [8.4 – 16.7],29.3 [19.3 – 39.3],26.7 [20.9 – 33.6],No,MZN,30,No,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5
Myanmar,3.2 [1.8 – 4.8],40.1 [31.1 – 49.9],48.8 [37.3 – 60.4],Not applicable,MMK,650,Yes in some,9,4,9,8,Not applicable,Not applicable,0,4,4
Namibia,22.6 [16.7 – 28],33.2 [23.9 – 43],28.1 [0 – 0],Yes,NAD,40,Yes in some,5,10,9,10,10,2,10,0,3
Nauru,39.5 [23.6 – 55.5],48.4 [34.8 – 62.3],55.7 [41.4 – 71.5],No,Data not available,Data not available,No,10,3,7,7,3,3,5,3,5
Nepal,20.9 [16.5 – 24.9],23.5 [18.9 – 28],37 [28.8 – 45],Yes,NPR,132,Yes in some,10,10,10,10,10,5,5,10,8
Netherlands,21.5 [16.1 – 27],25.1 [21.2 – 29.8],25.1 [21.2 – 29.8],No,EUR,6.32,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
New Zealand,16.4 [13.7 – 19.3],17.3 [14.2 – 19.9],17.3 [14.2 – 19.9],No,NZD,17,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Niger,11.9 [8.4 – 15.4],13.8 [11 – 16.6],15.7 [12.4 – 19.2],Not applicable,XOF,500,No,0,Not applicable,5,Not applicable,0,Not applicable,Not applicable,0,0
Nigeria,3.9 [2.6 – 5.2],4.5 [3.5 – 5.5],5.2 [3.8 – 6.5],Not applicable,NGN,220,No,7,Not applicable,10,Not applicable,10,Not applicable,Not applicable,Not applicable,0
Norway,17.7 [11.8 – 23.3],22.2 [18.7 – 25.8],15.4 [13 – 17.9],No,NOK,97.9,Yes in some,10,10,10,Not applicable,10,10,10,10,10
Oman,11.2 [7.8 – 14.8],14.8 [11.6 – 18.7],18.3 [13.8 – 24],Not applicable,OMR,0.9,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pakistan,2.8 [1.9 – 3.8],3.8 [2.4 – 5.1],37.9 [28.3 – 47.6],Not applicable,PKR,47,Yes in some,3,1,5,5,5,6,3,3,1
Palau,23.9 [14.2 – 33.2],29.7 [22.3 – 37.5],25.7 [17.5 – 36.4],Not applicable,USD,5.25,Yes in some,10,10,10,10,9,Not applicable,Not applicable,8,8
Panama,2.2 [1.5 – 2.9],2.5 [1.9 – 3.3],3.2 [1.9 – 4.6],Yes,PAB,4.25,Yes in some,10,10,10,10,10,7,8,3,10
Paraguay,20.4 [13.5 – 28.7],24.6 [18.5 – 31.8],24.6 [18.5 – 31.8],Not applicable,PYG,"1,500",No,Not available,Not applicable,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not available
Peru,18.7 [14.7 – 23.1],20.4 [15.8 – 25.6],20.4 [15.8 – 25.6],Yes,PEN,6.2,Yes in some,10,10,10,8,10,3,7,5,8
Philippines,40.5 [32.8 – 50],44.3 [36.6 – 53.7],44.3 [36.6 – 53.7],Yes,PHP,26.75,Yes in some,10,8,10,Not applicable,5,Not applicable,Not applicable,8,5
Poland,26.7 [21.4 – 31.7],28.6 [23.3 – 33.7],28.6 [23.3 – 33.7],No,PLN,13.7,Yes in some,8,Not applicable,8,Not applicable,8,Not applicable,Not applicable,Not applicable,8
Portugal,24.2 [18.5 – 30.2],27.1 [21.9 – 32.3],27.1 [21.9 – 32.3],No,EUR,4.5,Yes in some,8,Not applicable,8,Not applicable,10,Not applicable,Not applicable,Not applicable,3
Qatar,10.1 [6.4 – 13.8],12 [9.1 – 15.4],14.3 [11 – 17.8],Yes,QAR,10,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Republic of Korea,40.3 [33.4 – 47],42.7 [35.6 – 50.1],42.7 [35.6 – 50.1],No,KRW,"2,500",Yes in some,8,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7
Republic of Moldova,40 [30.9 – 49.6],44.2 [35.7 – 55.3],44.2 [35.7 – 55.3],Not applicable,MDL,15,Yes in some,7,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,3,3
Romania,25.4 [19.3 – 31],28.3 [22.6 – 34.4],28.3 [22.6 – 34.4],No,RON,14.5,Yes in some,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0
Russian Federation,28.9 [24.4 – 34],29.3 [24 – 34.3],29.3 [24 – 34.3],No,RUB,67,Yes in some,10,7,3,5,8,10,10,8,8
Rwanda,14.1 [10.3 – 18.8],20.5 [15.2 – 26.6],21.3 [16.4 – 26.2],No,RWF,650,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Samoa,25 [18.2 – 33.2],31 [21.7 – 41.1],31 [21.7 – 41.1],No,WST,9.5,No,6,5,8,10,5,Not applicable,Not applicable,4,6
Sao Tome and Principe,4 [2.4 – 5.8],4.5 [3.3 – 5.8],5.6 [3.8 – 7.1],No,STD,"20,000",Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Saudi Arabia,18.2 [12.5 – 25.9],12.7 [8.9 – 16.4],2.4 [1.3 – 3.7],Not applicable,SAR,10,Yes in most,6,9,5,9,10,Not available,3,9,8
Senegal,13.6 [10.7 – 16.4],15.8 [13.1 – 19.2],10 [7 – 13.6],No,XOF,500,No,Not available,x,7,x,x,x,x,x,3
Serbia,37 [29.3 – 46.2],41.7 [32.9 – 50.2],41.7 [32.9 – 50.2],Not applicable,RSD,170,Yes in some,6,3,4,Not applicable,9,Not applicable,Not applicable,4,4
Seychelles,31.8 [23.9 – 40],36.5 [27.6 – 45.7],36.6 [27.6 – 45],Yes,SCR,75,No,10,10,10,10,10,10,10,10,10
Sierra Leone,31.5 [23.8 – 39.9],22.5 [17.6 – 27.7],22.5 [17.6 – 27.7],Not applicable,SLL,"3,500",No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Singapore,24.8 [18.6 – 31.4],27.8 [21.7 – 34.9],27.8 [21.7 – 34.9],No,SGD,13,Yes in most,Not available,Not applicable,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available
Slovakia,26.9 [19 – 35.2],32.1 [23.3 – 40.4],32.1 [23.3 – 40.4],No,EUR,2.84,No,7,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,7,7
Slovenia,21.5 [16.6 – 26.2],23.3 [19 – 28.1],23.3 [19 – 28.1],No,EUR,3.45,Yes in some,8,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,8,8
Solomon Islands,32.2 [24.1 – 39.9],38.6 [29.7 – 48.5],38.6 [29.7 – 48.5],No,SBD,30.08,Yes in some,3,Not applicable,3,Not applicable,2,Not applicable,Not applicable,Not applicable,2
South Africa,28.6 [21.7 – 36.7],34.8 [27.7 – 41.6],32.5 [23.4 – 42.3],No,ZAR,31.74,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Spain,27.8 [21.6 – 33.7],29.6 [24 – 34.9],29.6 [24 – 34.9],No,EUR,4.8,Yes in some,10,9,10,10,10,10,10,10,10
Sri Lanka,10.9 [6.7 – 15.5],14.3 [10.6 – 18.2],3.5 [2.1 – 4.9],Not applicable,LKR,600,Yes in most,9,5,8,10,7,Not applicable,Not applicable,5,5
Sweden,14.4 [10.3 – 18.5],19.5 [16.3 – 23],32.9 [26.4 – 40.7],No,SEK,58.95,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Switzerland,22.7 [17.1 – 28.7],25.9 [21.3 – 30.4],25.9 [21.3 – 30.4],No,CHF,8.4,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thailand,20.2 [16.5 – 23.9],21.5 [17.7 – 25.1],3.6 [2.7 – 4.5],Not applicable,THB,65,Yes in most,10,6,10,10,6,1,8,5,5
Timor-Leste,5.3 [3.4 – 7.7],41.8 [33.9 – 50.2],41.8 [33.9 – 50.2],Not applicable,USD,1.25,No,Not applicable,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0
Togo,10.9 [7.4 – 14.9],14.4 [9.8 – 19.5],2.1 [1.3 – 2.9],No,XOF,400,No,8,8,10,Not applicable,Not applicable,Not applicable,Not applicable,10,10
Tonga,24.7 [15.7 – 35.5],30.7 [23.5 – 39.2],30.7 [23.5 – 39.2],No,TOP,8.5,Yes in some,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,7
