Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Albania,44.3 [32.1 – 56.7],51.7 [37.4 – 64],51.7 [37.4 – 64],No,All,200,Yes in some,3,5,5,3,8,0,0,3,0
Algeria,11.4 [6.1 – 16.2],14.9 [10.9 – 19.1],19.4 [12.3 – 27.9],No,DZD,150,Yes in some,6,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,6,2
Andorra,28 [16.3 – 40.4],34.1 [23.4 – 45.4],34.1 [23.4 – 45.4],Not applicable,EUR,3.5,No,10,10,10,Not applicable,10,Not applicable,Not applicable,10,10
Argentina,21.9 [17 – 26.7],24.2 [19.2 – 29.6],25.6 [19.1 – 31.8],Yes,ARS,14.5,Yes in most,9,5,9,5,10,3,10,5,6
Armenia,26.6 [21.4 – 31.3],28.3 [23.3 – 33.3],28.3 [23.3 – 33.3],Not applicable,AMD,600,Yes in some,5,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,5,5
Australia,12.9 [8.6 – 17],15.8 [13.1 – 18.6],18.2 [14.9 – 21.1],No,AUD,17.05,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8
Austria,30.1 [24.1 – 37.2],32.5 [25.9 – 38.6],32.5 [25.9 – 38.6],No,EUR,4.9,Yes in some,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6
Azerbaijan,16.8 [11.8 – 23.2],21.1 [14.2 – 28.4],21.1 [14.2 – 28.4],Not applicable,AZN,1.4,No,5,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,2,3
Bahamas,2.7 [1.1 – 4.4],18.5 [10.7 – 27.3],18.5 [10.7 – 27.3],Not applicable,BSD,7,Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bahrain,14 [8.7 – 19.8],34.1 [21.2 – 46.9],41.9 [23.6 – 61.7],Not applicable,BHD,1,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
